Nawasena (Gunnbjorn)
EZReigns (BeastDraught)
IRELENTLESSI (IAzriell)
ArchMages (Btlgs)
Spines (Removal)
TempestVoid (DevilsAdvocate)
Mammonite (VeryVeryStrong)
ErXi (ErXiTing)
Voosred (Voosred)
Kugs (GkUgZ)
NaiHe (QueenKayle)
StormVanguard (MoonlitDragon)
Lumiel (-)
Cador (Yagane)
Blodhgarm (Arsyura) ShiftRMB (CaptHorde)
Hiranox (Eunyeou)
Caelum (Estela)
Mixiely (Quelynn)
Raawr (Wofs)
Excalibar (-)
EinSofOhr (-)
KingInIronCLad (Vall3rie)
GudeKaiju (GudeHelios)
RagnarIronclad (SignalMom) 
Barty (Expectancy)
